《中東》  【年別】　（単位：千円） ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDDLE EAST  Calender Year Data  (a thousand yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years,Exp-Total,Imp-Total,Exp-133,Imp-133,Exp-134,Imp-134,Exp-135,Imp-135,Exp-136,Imp-136,Exp-137,Imp-137,Exp-138,Imp-138,Exp-140,Imp-140,Exp-141,Imp-141,Exp-142,Imp-142,Exp-143,Imp-143,Exp-144,Imp-144,Exp-145,Imp-145,Exp-146,Imp-146,Exp-147,Imp-147,Exp-148,Imp-148,Exp-149,Imp-149,Exp-158,Imp-158
,,,IRAN,IRAN,IRAQ,IRAQ,BAHRAIN,BAHRAIN,P YEMEN,P YEMEN,SU ARAB,SU ARAB,KUWAIT,KUWAIT,QATAR,QATAR,OMAN,OMAN,YEMEN,YEMEN,ISRAEL,ISRAEL,JORDAN,JORDAN,SYRIA,SYRIA,LEBANON,LEBANON,U ARB E,U ARB E,GAZA,GAZA,YEMEN,YEMEN,W B G S,W B G S
2001 ,1277006435 ,5383867510 ,96900288 ,609818715 ,23252147 ,16628822 ,20071662 ,26986706 ,0 ,0 ,437140455 ,1496298869 ,80018311 ,538096057 ,36955620 ,731801456 ,95553412 ,286562175 ,0 ,0 ,113733531 ,100737514 ,18764335 ,7507709 ,22359279 ,1988322 ,12511673 ,556241 ,311506988 ,1559854898 ,0 ,0 ,8230860 ,7030026 ,7874 ,0 
2002 ,1423292429 ,5094712829 ,96968084 ,592634186 ,35544525 ,13879446 ,31843474 ,19909990 ,0 ,0 ,469920494 ,1454772273 ,108114054 ,526172901 ,46180931 ,657087675 ,107209522 ,262477596 ,0 ,0 ,91798994 ,94495661 ,18390769 ,10192371 ,22680635 ,2769168 ,16753474 ,622720 ,368720001 ,1450255913 ,0 ,0 ,9166057 ,9442929 ,1415 ,0 
2003 ,1489293583 ,5928191572 ,129534917 ,861718219 ,8846208 ,11954547 ,39721371 ,16313900 ,0 ,0 ,430710364 ,1688655340 ,121237142 ,529046222 ,54925206 ,755348717 ,112084092 ,293536590 ,0 ,0 ,98109192 ,80294231 ,22653922 ,8528652 ,21328844 ,5577882 ,16742319 ,530802 ,420060240 ,1662810798 ,0 ,0 ,13310190 ,13875672 ,29576 ,0 
2004 ,1564952134 ,6781744971 ,120855820 ,893214056 ,7625786 ,126437383 ,42267229 ,29760545 ,0 ,0 ,397186528 ,1995537673 ,101053235 ,621330873 ,64039681 ,851987327 ,125507809 ,175878781 ,0 ,0 ,125713309 ,85003932 ,23068360 ,10108503 ,24634797 ,1817663 ,19167791 ,684003 ,498460290 ,1982365679 ,0 ,0 ,15301652 ,7618553 ,69847 ,0 
2005 ,1823005932 ,9663722552 ,147400461 ,1139468266 ,14644945 ,48400488 ,47399329 ,34680215 ,0 ,0 ,460681516 ,3170777511 ,130653525 ,843222419 ,109883597 ,1177957888 ,153434794 ,301761571 ,0 ,0 ,134686513 ,92403356 ,26536505 ,12191968 ,27872105 ,1842491 ,17888382 ,349284 ,534791243 ,2795493534 ,0 ,0 ,17092724 ,45169842 ,40293 ,3719 
2006 ,2232523340 ,12692392149 ,136557017 ,1293368164 ,23224649 ,105945871 ,62866917 ,62468133 ,0 ,0 ,540149929 ,4325316785 ,138653989 ,1058152549 ,169660359 ,1720947322 ,201352001 ,310932251 ,0 ,0 ,139929145 ,96897776 ,33804261 ,13604734 ,39690975 ,1151679 ,19388866 ,841702 ,703578319 ,3672170557 ,0 ,0 ,23648634 ,30593394 ,18279 ,1232 
2007 ,3077997495 ,13369922582 ,156535633 ,1484974506 ,14110167 ,119854609 ,79439013 ,50401754 ,0 ,0 ,790546598 ,4147484590 ,195610562 ,1165536394 ,216287795 ,1988962571 ,296393690 ,421231224 ,0 ,0 ,222752227 ,106178111 ,43969739 ,14374712 ,56269631 ,2703931 ,35613230 ,609741 ,945701802 ,3803670310 ,0 ,0 ,24689200 ,63937103 ,78208 ,3026 
2008 ,3508339168 ,17351120292 ,195537944 ,1896569935 ,21199452 ,157017099 ,96883605 ,42995262 ,0 ,0 ,813946560 ,5292732971 ,217495923 ,1584085520 ,208095683 ,2752248841 ,407540627 ,578085997 ,0 ,0 ,225745013 ,95504715 ,51811194 ,22222175 ,66885546 ,1540840 ,44563898 ,480077 ,1124149901 ,4871922004 ,0 ,0 ,34330818 ,55712504 ,153004 ,2352 
2009 ,2013304300 ,8639595411 ,153349001 ,866660017 ,29726181 ,131159163 ,40270720 ,48761649 ,0 ,0 ,502293918 ,2719744602 ,114814637 ,836346966 ,152552733 ,1483205384 ,217748282 ,307361327 ,0 ,0 ,106230725 ,76267566 ,23634870 ,21641955 ,26126656 ,3377544 ,24585470 ,234672 ,605373245 ,2114643202 ,0 ,0 ,16463354 ,30183666 ,134508 ,7698 
2010 ,2216465760 ,10386602193 ,182418503 ,980366594 ,27098268 ,299188647 ,51635152 ,57305276 ,0 ,0 ,567925844 ,3149353490 ,124536887 ,901040166 ,100032953 ,1904013532 ,273822125 ,396791550 ,0 ,0 ,155104478 ,72733900 ,19147202 ,7459991 ,19472539 ,11263380 ,26038054 ,876227 ,642624660 ,2568810990 ,0 ,0 ,26305218 ,37355905 ,303877 ,42545 
