year,series_id,label,value,unit,frequency,geography,industry_code,industry_name,measure,source_id
2022,iip_production_1101104000,鋼管・生産,101.6,index_2020_100,calendar_year,Japan,1101104000,鋼管,production,industry-iip-annual-20260914
2023,iip_production_1101104000,鋼管・生産,95.8,index_2020_100,calendar_year,Japan,1101104000,鋼管,production,industry-iip-annual-20260914
2024,iip_production_1101104000,鋼管・生産,91.7,index_2020_100,calendar_year,Japan,1101104000,鋼管,production,industry-iip-annual-20260914
2025,iip_production_1101104000,鋼管・生産,88.6,index_2020_100,calendar_year,Japan,1101104000,鋼管,production,industry-iip-annual-20260914
2018,iip_production_1101105000,めっき鋼材・生産,132.1,index_2020_100,calendar_year,Japan,1101105000,めっき鋼材,production,industry-iip-annual-20260914
2019,iip_production_1101105000,めっき鋼材・生産,123.2,index_2020_100,calendar_year,Japan,1101105000,めっき鋼材,production,industry-iip-annual-20260914
2020,iip_production_1101105000,めっき鋼材・生産,100.0,index_2020_100,calendar_year,Japan,1101105000,めっき鋼材,production,industry-iip-annual-20260914
2021,iip_production_1101105000,めっき鋼材・生産,119.1,index_2020_100,calendar_year,Japan,1101105000,めっき鋼材,production,industry-iip-annual-20260914
2022,iip_production_1101105000,めっき鋼材・生産,102.4,index_2020_100,calendar_year,Japan,1101105000,めっき鋼材,production,industry-iip-annual-20260914
2023,iip_production_1101105000,めっき鋼材・生産,104.5,index_2020_100,calendar_year,Japan,1101105000,めっき鋼材,production,industry-iip-annual-20260914
2024,iip_production_1101105000,めっき鋼材・生産,99.8,index_2020_100,calendar_year,Japan,1101105000,めっき鋼材,production,industry-iip-annual-20260914
2025,iip_production_1101105000,めっき鋼材・生産,98.1,index_2020_100,calendar_year,Japan,1101105000,めっき鋼材,production,industry-iip-annual-20260914
2018,iip_production_1101106000,鋳鍛造品・生産,127.3,index_2020_100,calendar_year,Japan,1101106000,鋳鍛造品,production,industry-iip-annual-20260914
2019,iip_production_1101106000,鋳鍛造品・生産,119.7,index_2020_100,calendar_year,Japan,1101106000,鋳鍛造品,production,industry-iip-annual-20260914
2020,iip_production_1101106000,鋳鍛造品・生産,100.0,index_2020_100,calendar_year,Japan,1101106000,鋳鍛造品,production,industry-iip-annual-20260914
2021,iip_production_1101106000,鋳鍛造品・生産,117.8,index_2020_100,calendar_year,Japan,1101106000,鋳鍛造品,production,industry-iip-annual-20260914
2022,iip_production_1101106000,鋳鍛造品・生産,116.2,index_2020_100,calendar_year,Japan,1101106000,鋳鍛造品,production,industry-iip-annual-20260914
2023,iip_production_1101106000,鋳鍛造品・生産,115.6,index_2020_100,calendar_year,Japan,1101106000,鋳鍛造品,production,industry-iip-annual-20260914
2024,iip_production_1101106000,鋳鍛造品・生産,107.4,index_2020_100,calendar_year,Japan,1101106000,鋳鍛造品,production,industry-iip-annual-20260914
2025,iip_production_1101106000,鋳鍛造品・生産,108.9,index_2020_100,calendar_year,Japan,1101106000,鋳鍛造品,production,industry-iip-annual-20260914
2018,iip_production_1101200000,非鉄金属工業・生産,116.3,index_2020_100,calendar_year,Japan,1101200000,非鉄金属工業,production,industry-iip-annual-20260914
